trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'e': 0.0005408328826392645, 'a': 0.5}",25,4,30.142567675682066,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'e': 0.0005165289256198347, 'a': 0.5}",20,4,20.300019713124716,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'e': 0.0004938271604938272, 'a': 0.5}",35,19,-5.935481084518196,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
46,False,"{'e': 0.0004725897920604915, 'a': 0.5}",25,10,19.70176943914098,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
47,False,"{'e': 0.0004526935264825713, 'a': 0.5}",30,0,20.2404681586241,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
48,False,"{'e': 0.00043402777777777775, 'a': 0.5}",25,0,22.732125790126098,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
49,False,"{'e': 0.00041649312786339027, 'a': 0.5}",25,0,36.48507855488401,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
50,False,"{'e': 0.0004, 'a': 0.5}",25,8,28.779541421299456,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'e': 0.00038446751249519417, 'a': 0.5}",25,3,25.772700367641292,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'e': 0.0003698224852071006, 'a': 0.5}",25,4,18.81537012679858,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'e': 0.000355998576005696, 'a': 0.5}",25,16,15.270851580353614,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'e': 0.0003429355281207133, 'a': 0.5}",20,0,28.49606454750137,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
55,False,"{'e': 0.00033057851239669424, 'a': 0.5}",30,3,30.59720442027083,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'e': 0.00031887755102040814, 'a': 0.5}",20,9,20.579048479933125,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'e': 0.0003077870113881194, 'a': 0.5}",25,4,32.2760082568542,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'e': 0.00029726516052318666, 'a': 0.5}",20,8,20.79304804525509,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'e': 0.0002872737719046251, 'a': 0.5}",20,0,28.70044498389546,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
60,False,"{'e': 0.0002777777777777778, 'a': 0.5}",20,0,25.265055183085554,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
61,False,"{'e': 0.0002687449610319806, 'a': 0.5}",25,5,28.868993365177623,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'e': 0.00026014568158168577, 'a': 0.5}",25,12,19.00626195333784,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'e': 0.0002519526329050139, 'a': 0.5}",35,22,16.367765547571146,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'e': 0.000244140625, 'a': 0.5}",20,14,12.213879994383374,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'e': 0.00023668639053254438, 'a': 0.5}",35,0,8.365746796157396,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
66,False,"{'e': 0.0002295684113865932, 'a': 0.5}",20,1,29.91749810124082,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
